"decoration","item","num","created_at","updated_at","created_by","id","_read_perm","_write_perm"
"{""name"": ""\u88c5\u586b\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u88c5\u586b\u6269\u5145\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927d5"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811449, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f6"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u4fee\u7f57\u539f\u73e0"", ""desc"": ""\u5236\u4f5c\u88c5\u9970\u54c1\u65f6\u4e0d\u53ef\u6216\u7f3a\u7684\u73e0\u5b50\u3002\u7f8e\u4e2d\u4e0d\u8db3\u4e4b\u5904\u5c31\u662f\u6709\u70b9\u8d35\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item53.png"", ""name_jp"": ""\u4fee\u7f85\u539f\u73e0"", ""created_at"": 1616846216, ""updated_at"": 1617887148, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb36c"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","5","1617808946","1617808946","80067813","606dce32933555481168f0af","[""user:anonymous""]","[]"
"{""name"": ""\u5c04\u6cd5\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u5f39\u9053\u5f3a\u5316\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927bd"", ""_table"": ""armor_skill""}, ""size"": 2, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811451, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1fa"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u89d2\u9f99\u7684\u5ef6\u9ad3"", ""desc"": ""\u8d1f\u8d23\u7ef4\u6301\u751f\u547d\u7684\u7a00\u6709\u90e8\u4f4d\uff0c\u8fde\u5265\u53d6\u90fd\u975e\u5e38\u56f0\u96be\u3002\u6709\u65e0\u6570\u7684\u7814\u7a76\u8005\u5173\u6ce8\u7740\u5b83\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item29.png"", ""name_jp"": ""\u89d2\u7adc\u306e\u5ef6\u9ac4"", ""created_at"": 1616846216, ""updated_at"": 1617887165, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb4ef"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","1617808946","1617808946","80067813","606dce32933555481168f0c2","[""user:anonymous""]","[]"
"{""name"": ""\u5f3a\u8d70\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u8dd1\u8005\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927c2"", ""_table"": ""armor_skill""}, ""size"": 2, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811453, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1fd"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u4fee\u7f57\u539f\u73e0"", ""desc"": ""\u5236\u4f5c\u88c5\u9970\u54c1\u65f6\u4e0d\u53ef\u6216\u7f3a\u7684\u73e0\u5b50\u3002\u7f8e\u4e2d\u4e0d\u8db3\u4e4b\u5904\u5c31\u662f\u6709\u70b9\u8d35\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item53.png"", ""name_jp"": ""\u4fee\u7f85\u539f\u73e0"", ""created_at"": 1616846216, ""updated_at"": 1617887148, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb36c"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","4","1617808946","1617808946","80067813","606dce32933555481168f0cb","[""user:anonymous""]","[]"
"{""name"": ""\u88c5\u586b\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u88c5\u586b\u6269\u5145\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927d5"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811449, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f6"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u6ce5\u9c7c\u9f99\u7684\u9510\u7259"", ""desc"": ""\u6ce5\u9c7c\u9f99\u9510\u5229\u7684\u7c97\u7259\u3002\u9510\u7259\u7d27\u54ac\u730e\u7269\uff0c\u76f4\u81f3\u5c06\u5176\u62d6\u5165\u6ce5\u6cbc\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item33.png"", ""name_jp"": ""\u6ce5\u9b5a\u7adc\u306e\u92ed\u7259"", ""created_at"": 1616846216, ""updated_at"": 1617887264, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb442"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","2","1617808946","1617808946","80067813","606dce32933555481168f0b2","[""user:anonymous""]","[]"
"{""name"": ""\u8338\u597d\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u6700\u7231\u8611\u83c7\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927f8"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811450, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f8"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u66fc\u9640\u7f57"", ""desc"": ""\u4f7f\u7528\u65b9\u5f0f\u9519\u8bef\u53ef\u80fd\u4f1a\u81f4\u6b7b\u7684\u5371\u9669\u8611\u83c7\u3002\u8c03\u548c\u79d8\u836f\u7684\u5fc5\u8981\u7d20\u6750\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item1.png"", ""name_jp"": ""\u30de\u30f3\u30c9\u30e9\u30b4\u30e9"", ""created_at"": 1616846216, ""updated_at"": 1617887102, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb2d5"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","3","1617808946","1617808946","80067813","606dce32933555481168f0ba","[""user:anonymous""]","[]"
"{""name"": ""\u5b88\u52bf\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u653b\u51fb\u5b88\u52bf\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927c7"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811450, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f7"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u8d64\u7532\u517d\u7684\u5c16\u722a"", ""desc"": ""\u8d64\u7532\u517d\u7684\u5f3a\u56fa\u5c16\u722a\u3002\u6301\u7eed\u66b4\u9732\u5728\u707c\u70ed\u73af\u5883\u4e2d\u7684\u5c16\u722a\u5f3a\u5ea6\u53ef\u4ee5\u6bd4\u80a9\u767e\u70bc\u7cbe\u94a2\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item33.png"", ""name_jp"": ""\u8d64\u7532\u7363\u306e\u5c16\u722a"", ""created_at"": 1616846216, ""updated_at"": 1617887127, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb403"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","3","1617808946","1617808946","80067813","606dce32933555481168f0b5","[""user:anonymous""]","[]"
"{""name"": ""\u88c5\u586b\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u88c5\u586b\u6269\u5145\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927d5"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811449, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f6"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u8fc5\u9f99\u7684\u9510\u7259"", ""desc"": ""\u9510\u5229\u5f97\u4ee4\u4eba\u80c6\u5bd2\u7684\u8fc5\u9f99\u7684\u7259\u3002\u5e76\u4e0d\u662f\u7528\u6765\u54ac\u788e\u730e\u7269\u7684\uff0c\u800c\u662f\u4e13\u6ce8\u4e8e\u628a\u730e\u7269\u6574\u4e2a\u5256\u5f00\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item33.png"", ""name_jp"": ""\u8fc5\u7adc\u306e\u92ed\u7259"", ""created_at"": 1616846216, ""updated_at"": 1617887267, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb498"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","3","1617808946","1617808946","80067813","606dce32933555481168f0b1","[""user:anonymous""]","[]"
"{""name"": ""\u62d4\u5200\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u62d4\u5200\u672f\u3010\u6280\u3011\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927c8"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811450, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f9"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u7425\u73c0\u8272\u7684\u9510\u7259"", ""desc"": ""\u6355\u6740\u7684\u730e\u7269\u8d8a\u591a\u5c31\u8d8a\u950b\u5229\u7684\u7425\u73c0\u8272\u7259\u3002\u5b83\u7684\u5f3a\u5ea6\u751a\u81f3\u8db3\u4ee5\u76f4\u63a5\u54ac\u788e\u5de8\u5927\u7684\u51b0\u5757\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item33.png"", ""name_jp"": ""\u7425\u73c0\u8272\u306e\u92ed\u7259"", ""created_at"": 1616846216, ""updated_at"": 1617887164, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb46b"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","1617808946","1617808946","80067813","606dce32933555481168f0be","[""user:anonymous""]","[]"
"{""name"": ""\u5b88\u52bf\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u653b\u51fb\u5b88\u52bf\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927c7"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811450, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f7"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u89d2\u9f99\u7684\u5ef6\u9ad3"", ""desc"": ""\u8d1f\u8d23\u7ef4\u6301\u751f\u547d\u7684\u7a00\u6709\u90e8\u4f4d\uff0c\u8fde\u5265\u53d6\u90fd\u975e\u5e38\u56f0\u96be\u3002\u6709\u65e0\u6570\u7684\u7814\u7a76\u8005\u5173\u6ce8\u7740\u5b83\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item29.png"", ""name_jp"": ""\u89d2\u7adc\u306e\u5ef6\u9ac4"", ""created_at"": 1616846216, ""updated_at"": 1617887165, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb4ef"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","2","1617808946","1617808946","80067813","606dce32933555481168f0b6","[""user:anonymous""]","[]"
"{""name"": ""\u8338\u597d\u73e0"", ""desc"": ""\u80fd\u591f\u63d0\u5347\u6700\u7231\u8611\u83c7\u6280\u80fd\u7684\u88c5\u9970\u54c1\u3002"", ""armor_skill"": {""id"": ""605ed2d0ffbf24094c3927f8"", ""_table"": ""armor_skill""}, ""size"": 3, ""unlock"": ""m|605a1f69b6e8ed30ad0d7ce0|\u96f7\u795e\u9f99"", ""created_at"": 1616926938, ""updated_at"": 1617811450, ""created_by"": 80067813, ""id"": ""606058dac1773213ae54b1f8"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""decoration""}","{""name"": ""\u8f70\u9f99\u7684\u989a"", ""desc"": ""\u8f70\u9f99\u58ee\u89c2\u7684\u4e0b\u989a\u3002\u8f7b\u677e\u5730\u54ac\u5f00\u6495\u88c2\u730e\u7269\u7684\u5f3a\u5065\u4e0b\u989a\u5c06\u6050\u6016\u6df1\u690d\u5728\u89c2\u8005\u7684\u5fc3\u4e2d\u3002"", ""image"": ""https://cdn.kiranico.net/file/kiranico/mhrise-web/images/items/item62.png"", ""name_jp"": ""\u8f5f\u7adc\u306e\u30a2\u30ae\u30c8"", ""created_at"": 1616846216, ""updated_at"": 1617887131, ""created_by"": 80067813, ""id"": ""605f1d89916275061eccb4e5"", ""_read_perm"": [""user:anonymous""], ""_write_perm"": [], ""_table"": ""item""}","1","1617808946","1617808946","80067813","606dce32933555481168f0b8","[""user:anonymous""]","[]"
